Pokemon Id,Pokedex Number,Pokemon Name,Alternate Form Name,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Special Event Ability,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Pre-Evolution Pokemon Id,Evolution Details
2062,52,Meowth,Alola,4.2,Dark,NULL,Pickup,Technician,Rattled,NULL,40,35,35,50,40,90,290,NULL,NULL
53,53,Persian,NULL,32,Normal,NULL,Limber,Technician,Unnerve,NULL,65,70,60,65,65,115,440,96,Level 28
2063,53,Persian,Alola,33,Dark,NULL,Fur Coat,Technician,Rattled,NULL,65,60,60,75,65,115,440,97,NULL
54,54,Psyduck,NULL,19.6,Water,NULL,Damp,Cloud Nine,Swift Swim,NULL,50,52,48,65,50,55,320,NULL,NULL
55,55,Golduck,NULL,76.6,Water,NULL,Damp,Cloud Nine,Swift Swim,NULL,80,82,78,95,80,85,500,102,Level 33
56,56,Mankey,NULL,28,Fighting,NULL,Vital Spirit,Anger Point,Defiant,NULL,40,80,35,35,45,70,305,NULL,NULL
57,57,Primeape,NULL,32,Fighting,NULL,Vital Spirit,Anger Point,Defiant,NULL,65,105,60,60,70,95,455,895,Level 28
58,58,Growlithe,NULL,19,Fire,NULL,Intimidate,Flash Fire,Justified,NULL,55,70,45,70,50,60,350,NULL,NULL
2068,58,Growlithe,Hisui,22.7,Fire,Rock,Intimidate,Flash Fire,Rock Head,NULL,60,75,45,65,50,55,350,NULL,NULL
59,59,Arcanine,NULL,155,Fire,NULL,Intimidate,Flash Fire,Justified,NULL,90,110,80,100,80,95,555,949,Fire Stone
2069,59,Arcanine,Hisui,168,Fire,Rock,Intimidate,Flash Fire,Rock Head,NULL,95,115,80,95,80,90,555,1615,Fire Stone
60,60,Poliwag,NULL,12.4,Water,NULL,Water Absorb,Damp,Swift Swim,NULL,40,50,40,40,40,90,300,NULL,NULL
61,61,Poliwhirl,NULL,20,Water,NULL,Water Absorb,Damp,Swift Swim,NULL,65,65,65,50,50,90,385,971,Level 25
62,62,Poliwrath,NULL,54,Water,Fighting,Water Absorb,Damp,Swift Swim,NULL,90,95,95,70,90,70,510,982,Water Stone
63,63,Abra,NULL,19.5,Psychic,NULL,Synchronize,Inner Focus,Magic Guard,NULL,25,20,15,105,55,90,310,NULL,NULL
64,64,Kadabra,NULL,56.5,Psychic,NULL,Synchronize,Inner Focus,Magic Guard,NULL,40,35,30,120,70,105,400,1004,Level 16
65,65,Alakazam,NULL,48,Psychic,NULL,Synchronize,Inner Focus,Magic Guard,NULL,55,50,45,135,95,120,500,1015,NULL
2075,65,Alakazam,NULL,48,Psychic,NULL,Synchronize,Inner Focus,Magic Guard,NULL,55,50,45,135,95,120,500,1015,Trade Or Use Linking Cord In Legends: Arceus
2076,65,Alakazam,Mega,48,Psychic,NULL,Trace,NULL,NULL,NULL,55,50,65,175,105,150,600,NULL,NULL
66,66,Machop,NULL,19.5,Fighting,NULL,Guts,No Guard,Steadfast,NULL,70,80,50,35,35,35,305,NULL,NULL
67,67,Machoke,NULL,70.5,Fighting,NULL,Guts,No Guard,Steadfast,NULL,80,100,70,50,60,45,405,1076,Level 28
68,68,Machamp,NULL,130,Fighting,NULL,Guts,No Guard,Steadfast,NULL,90,130,80,65,85,55,505,1087,NULL
2079,68,Machamp,NULL,130,Fighting,NULL,Guts,No Guard,Steadfast,NULL,90,130,80,65,85,55,505,1087,Trade Or Use Linking Cord In Legends: Arceus
2080,68,Machamp,Gigantamax,0,Fighting,NULL,Guts,No Guard,Steadfast,NULL,90,130,80,65,85,55,505,NULL,NULL
69,69,Bellsprout,NULL,4,Grass,Poison,Chlorophyll,NULL,Gluttony,NULL,50,75,35,70,30,40,300,NULL,NULL
70,70,Weepinbell,NULL,6.4,Grass,Poison,Chlorophyll,NULL,Gluttony,NULL,65,90,50,85,45,55,390,1109,Level 21
71,71,Victreebel,NULL,15.5,Grass,Poison,Chlorophyll,NULL,Gluttony,NULL,80,105,65,100,70,70,490,1128,Leaf Stone
72,72,Tentacool,NULL,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,NULL,40,40,35,50,100,70,335,NULL,NULL
73,73,Tentacruel,NULL,55,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,NULL,80,70,65,80,120,100,515,1150,Level 30
74,74,Geodude,NULL,20,Rock,Ground,Rock Head,Sturdy,Sand Veil,NULL,40,80,100,30,30,20,300,NULL,NULL
2086,74,Geodude,Alola,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,NULL,40,80,100,30,30,20,300,NULL,NULL
75,75,Graveler,NULL,105,Rock,Ground,Rock Head,Sturdy,Sand Veil,NULL,55,95,115,45,45,35,390,1265,Level 25
2087,75,Graveler,Alola,110,Rock,Electric,Magnet Pull,Sturdy,Galvanize,NULL,55,95,115,45,45,35,390,1361,Level 25
76,76,Golem,NULL,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,NULL,80,120,130,55,65,45,495,1276,NULL
2088,76,Golem,NULL,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,NULL,80,120,130,55,65,45,495,1276,Trade Or Use Linking Cord In Legends: Arceus
2089,76,Golem,Alola,316,Rock,Electric,Magnet Pull,Sturdy,Galvanize,NULL,80,120,130,55,65,45,495,1362,NULL
77,77,Ponyta,NULL,30,Fire,NULL,Run Away,Flash Fire,Flame Body,NULL,50,85,55,65,65,90,410,NULL,NULL
2090,77,Ponyta,Galar,24,Psychic,NULL,Run Away,Pastel Veil,Anticipation,NULL,50,85,55,65,65,90,410,NULL,NULL
78,78,Rapidash,NULL,95,Fire,NULL,Run Away,Flash Fire,Flame Body,NULL,65,100,70,80,80,105,500,1297,Level 40
2091,78,Rapidash,Galar,80,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,NULL,65,100,70,80,80,105,500,1364,Level 40
79,79,Slowpoke,NULL,36,Water,Psychic,Oblivious,Own Tempo,Regenerator,NULL,90,65,65,40,40,15,315,NULL,NULL
2092,79,Slowpoke,Galar,36,Psychic,NULL,Gluttony,Own Tempo,Regenerator,NULL,90,65,65,40,40,15,315,NULL,NULL
80,80,Slowbro,NULL,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,NULL,95,75,110,100,80,30,490,1319,Level 37
2093,80,Slowbro,Mega,120,Water,Psychic,Shell Armor,NULL,NULL,NULL,95,75,180,130,80,30,590,NULL,NULL
2094,80,Slowbro,Galar,70.5,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,NULL,95,100,95,100,70,30,490,1366,Galarica Cuff
81,81,Magnemite,NULL,6,Electric,Steel,Magnet Pull,Sturdy,Analytic,NULL,25,35,70,95,55,45,325,NULL,NULL
82,82,Magneton,NULL,60,Electric,Steel,Magnet Pull,Sturdy,Analytic,NULL,50,60,95,120,70,70,465,46,Level 30
83,83,Farfetch'd,NULL,15,Normal,Flying,Keen Eye,Inner Focus,Defiant,NULL,52,90,55,58,62,60,377,NULL,NULL
2097,83,Farfetch'd,Galar,42,Fighting,NULL,Steadfast,NULL,Scrappy,NULL,52,95,55,58,62,55,377,NULL,NULL
84,84,Doduo,NULL,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,NULL,35,85,45,35,35,75,310,NULL,NULL
85,85,Dodrio,NULL,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,NULL,60,110,70,60,60,110,470,1343,Level 31
86,86,Seel,NULL,90,Water,NULL,Thick Fat,Hydration,Ice Body,NULL,65,45,55,45,70,45,325,NULL,NULL
87,87,Dewgong,NULL,120,Water,Ice,Thick Fat,Hydration,Ice Body,NULL,90,70,80,70,95,70,475,1345,Level 34
88,88,Grimer,NULL,30,Poison,NULL,Stench,Sticky Hold,Poison Touch,NULL,80,80,50,40,50,25,325,NULL,NULL
2102,88,Grimer,Alola,42,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,NULL,80,80,50,40,50,25,325,NULL,NULL
89,89,Muk,NULL,30,Poison,NULL,Stench,Sticky Hold,Poison Touch,NULL,105,105,75,65,100,50,500,1347,Level 38
2103,89,Muk,Alola,52,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,NULL,105,105,75,65,100,50,500,1372,Level 38
90,90,Shellder,NULL,4,Water,NULL,Shell Armor,Skill Link,Overcoat,NULL,30,65,100,45,25,40,305,NULL,NULL
91,91,Cloyster,NULL,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,NULL,50,95,180,85,45,70,525,1349,Water Stone
92,92,Gastly,NULL,0.1,Ghost,Poison,Levitate,NULL,NULL,NULL,30,35,30,100,35,80,310,NULL,NULL
93,93,Haunter,NULL,0.1,Ghost,Poison,Levitate,NULL,NULL,NULL,45,50,45,115,55,95,405,1351,Level 25
94,94,Gengar,NULL,40.5,Ghost,Poison,Cursed Body,NULL,NULL,NULL,60,65,60,130,75,110,500,1352,NULL
2108,94,Gengar,NULL,40.5,Ghost,Poison,Cursed Body,NULL,NULL,NULL,60,65,60,130,75,110,500,1352,Trade Or Use Linking Cord In Legends: Arceus
2109,94,Gengar,Mega,40.5,Ghost,Poison,Shadow Tag,NULL,NULL,NULL,60,65,80,170,95,130,600,NULL,NULL
2110,94,Gengar,Gigantamax,0,Ghost,Poison,Cursed Body,NULL,NULL,NULL,60,65,60,130,75,110,500,NULL,NULL
95,95,Onix,NULL,210,Rock,Ground,Rock Head,Sturdy,Weak Armor,NULL,35,45,160,30,45,70,385,NULL,NULL
96,96,Drowzee,NULL,32.4,Psychic,NULL,Insomnia,Forewarn,Inner Focus,NULL,60,48,45,43,90,42,328,NULL,NULL
97,97,Hypno,NULL,75.6,Psychic,NULL,Insomnia,Forewarn,Inner Focus,NULL,85,73,70,73,115,67,483,1355,Level 26
98,98,Krabby,NULL,6.5,Water,NULL,Hyper Cutter,Shell Armor,Sheer Force,NULL,30,105,90,25,25,50,325,NULL,NULL
99,99,Kingler,NULL,60,Water,NULL,Hyper Cutter,Shell Armor,Sheer Force,NULL,55,130,115,50,50,75,475,1357,Level 28
2115,99,Kingler,Gigantamax,0,Water,NULL,Hyper Cutter,Shell Armor,Sheer Force,NULL,55,130,115,50,50,75,475,NULL,NULL
100,100,Voltorb,NULL,10.5,Electric,NULL,Soundproof,Static,Aftermath,NULL,40,30,50,55,55,100,330,NULL,NULL
2116,100,Voltorb,Hisui,13,Electric,Grass,Soundproof,Static,Aftermath,NULL,40,30,50,55,55,100,330,NULL,NULL
101,101,Electrode,NULL,66.6,Electric,NULL,Soundproof,Static,Aftermath,NULL,60,50,70,80,80,150,490,47,Level 30
2117,101,Electrode,Hisui,71,Electric,Grass,Soundproof,Static,Aftermath,NULL,60,50,70,80,80,150,490,1620,Leaf Stone
102,102,Exeggcute,NULL,2.5,Grass,Psychic,Chlorophyll,NULL,Harvest,NULL,60,40,80,60,45,40,325,NULL,NULL
103,103,Exeggutor,NULL,120,Grass,Psychic,Chlorophyll,NULL,Harvest,NULL,95,95,85,125,75,55,530,136,Leaf Stone
2119,103,Exeggutor,NULL,120,Grass,Psychic,Chlorophyll,NULL,Harvest,NULL,95,95,85,125,75,55,530,136,Leaf Stone in Ultra Space - Only Available In USUM
2120,103,Exeggutor,NULL,120,Grass,Psychic,Chlorophyll,NULL,Harvest,NULL,95,95,85,125,75,55,530,136,Leaf Stone
2121,103,Exeggutor,Alola,415.6,Grass,Dragon,Frisk,NULL,Harvest,NULL,95,105,85,125,75,45,530,136,Leaf Stone in Alola
2122,103,Exeggutor,Alola,415.6,Grass,Dragon,Frisk,NULL,Harvest,NULL,95,105,85,125,75,45,530,136,NULL
104,104,Cubone,NULL,6.5,Ground,NULL,Rock Head,Lightning Rod,Battle Armor,NULL,50,50,95,40,50,35,320,NULL,NULL
105,105,Marowak,NULL,45,Ground,NULL,Rock Head,Lightning Rod,Battle Armor,NULL,60,80,110,50,80,45,425,138,Level 28
2124,105,Marowak,NULL,45,Ground,NULL,Rock Head,Lightning Rod,Battle Armor,NULL,60,80,110,50,80,45,425,138,Level 28
2125,105,Marowak,NULL,45,Ground,NULL,Rock Head,Lightning Rod,Battle Armor,NULL,60,80,110,50,80,45,425,138,Level 28 in Ultra Space - Only Available In USUM
2126,105,Marowak,Alola,34,Ghost,Fire,Cursed Body,Lightning Rod,Rock Head,NULL,60,80,110,50,80,45,425,138,Level 28 At Night in Alola
2127,105,Marowak,Alola,34,Ghost,Fire,Cursed Body,Lightning Rod,Rock Head,NULL,60,80,110,50,80,45,425,138,NULL
106,106,Hitmonlee,NULL,49.8,Fighting,NULL,Limber,Reckless,Unburden,NULL,50,120,53,35,110,87,455,360,Level 20 With Attack > Defense
107,107,Hitmonchan,NULL,50.2,Fighting,NULL,Keen Eye,Iron Fist,Inner Focus,NULL,50,105,79,35,110,76,455,360,Level 20 With Attack < Defense
108,108,Lickitung,NULL,65.5,Normal,NULL,Own Tempo,Oblivious,Cloud Nine,NULL,90,55,75,60,75,30,385,NULL,NULL
109,109,Koffing,NULL,1,Poison,NULL,Levitate,Neutralizing Gas,Stench,NULL,40,65,95,60,45,35,340,NULL,NULL
110,110,Weezing,NULL,9.5,Poison,NULL,Levitate,Neutralizing Gas,Stench,NULL,65,90,120,85,70,60,490,143,Level 35
2132,110,Weezing,Galar,16,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,NULL,65,90,120,85,70,60,490,143,Level 35 in Galar
111,111,Rhyhorn,NULL,115,Ground,Rock,Lightning Rod,Rock Head,Reckless,NULL,80,85,95,30,30,25,345,NULL,NULL
112,112,Rhydon,NULL,120,Ground,Rock,Lightning Rod,Rock Head,Reckless,NULL,105,130,120,45,45,40,485,145,Level 42
113,113,Chansey,NULL,34.6,Normal,NULL,Natural Cure,Serene Grace,Healer,NULL,250,5,5,35,105,50,450,638,Holding An Oval Stone During The Day
114,114,Tangela,NULL,35,Grass,NULL,Chlorophyll,Leaf Guard,Regenerator,NULL,65,55,115,100,40,60,435,NULL,NULL
115,115,Kangaskhan,NULL,80,Normal,NULL,Early Bird,Scrappy,Inner Focus,NULL,105,95,80,40,80,90,490,NULL,NULL
2137,115,Kangaskhan,Mega,100,Normal,NULL,Parental Bond,NULL,NULL,NULL,105,125,100,60,100,100,590,NULL,NULL
116,116,Horsea,NULL,8,Water,NULL,Swift Swim,Sniper,Damp,NULL,30,40,70,70,25,60,295,NULL,NULL
117,117,Seadra,NULL,25,Water,NULL,Poison Point,Sniper,Damp,NULL,55,65,95,95,45,85,440,212,Level 32
118,118,Goldeen,NULL,15,Water,NULL,Swift Swim,Water Veil,Lightning Rod,NULL,45,67,60,35,50,63,320,NULL,NULL
119,119,Seaking,NULL,39,Water,NULL,Swift Swim,Water Veil,Lightning Rod,NULL,80,92,65,65,80,68,450,214,Level 33
120,120,Staryu,NULL,34.5,Water,NULL,Illuminate,Natural Cure,Analytic,NULL,30,45,55,70,55,85,340,NULL,NULL
121,121,Starmie,NULL,80,Water,Psychic,Illuminate,Natural Cure,Analytic,NULL,60,75,85,100,85,115,520,216,Water Stone
122,122,Mr. Mime,NULL,54.5,Psychic,Fairy,Soundproof,Filter,Technician,NULL,40,45,65,100,120,90,460,637,Knowing Mimic
2144,122,Mr. Mime,Galar,56,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,NULL,50,65,65,90,90,100,460,637,Knowing Mimic in Galar
123,123,Scyther,NULL,56,Bug,Flying,Swarm,Technician,Steadfast,NULL,70,110,80,55,80,105,500,NULL,NULL
124,124,Jynx,NULL,40.6,Ice,Psychic,Oblivious,Forewarn,Dry Skin,NULL,65,50,35,115,95,95,455,362,Level 30
125,125,Electabuzz,NULL,30,Electric,NULL,Static,NULL,Vital Spirit,NULL,65,83,57,95,85,105,490,363,Level 30
126,126,Magmar,NULL,44.5,Fire,NULL,Flame Body,NULL,Vital Spirit,NULL,65,95,57,100,85,93,495,364,Level 30
127,127,Pinsir,NULL,55,Bug,NULL,Hyper Cutter,Mold Breaker,Moxie,NULL,65,125,100,55,70,85,500,NULL,NULL
2149,127,Pinsir,Mega,59,Bug,Flying,Aerilate,NULL,NULL,NULL,65,155,120,65,90,105,600,NULL,NULL
128,128,Tauros,NULL,88.4,Normal,NULL,Intimidate,Anger Point,Sheer Force,NULL,75,100,95,40,70,110,490,NULL,NULL
2150,128,Tauros,Paldean-Combat,115,Fighting,NULL,Intimidate,Anger Point,Cud Chew,NULL,75,110,105,30,70,100,490,NULL,NULL
2151,128,Tauros,Paldean-Blaze,85,Fighting,Fire,Intimidate,Anger Point,Cud Chew,NULL,75,110,105,30,70,100,490,NULL,NULL
2152,128,Tauros,Paldean-Aqua,110,Fighting,Water,Intimidate,Anger Point,Cud Chew,NULL,75,110,105,30,70,100,490,NULL,NULL
